GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-juancarloscruzd,app,Student,8,39,0,0,4,6,3,4,3,4
practica-calificada-1-juancarloscruzd,app,Offer,3,12,0,0,1,5,1,2,1,2
practica-calificada-1-juancarloscruzd,app,Book,6,21,0,0,2,8,2,3,2,3
practica-calificada-1-juancarloscruzd,app,App,12,0,0,0,4,0,3,0,3,0
practica-calificada-1-juancarloscruzd,app,Oliver,0,89,2,6,0,19,2,8,0,6
